agency_type,FIPS,agency_name_full,population_21,months_reported_in_21,is_nibrs_2022,months_reported_in_22,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,Info,County
City,36103,east hampton town police department,19927,0,0,0,2,86,0,88,-72.2500788,40.9557328,,Suffolk
City,36103,riverhead town police department,33461,0,0,0,28,479,0,507,-72.6620402,40.9170435,,Suffolk
City,36103,shelter island town police department,2419,0,0,0,0,0,0,0,-72.3386939,41.0681549,,Suffolk
City,36103,southampton town police department,51162,0,0,0,38,595,1,633,-72.5388485,40.8867053,,Suffolk
City,36103,southold town police department,19957,12,1,12,11,270,0,281,-72.4261962,41.0648222,,Suffolk
Other State Agency,36103,nys park police long island region,0,0,0,0,0,0,0,0,-73.134961,40.789142,,-
County,36105,sullivan county sheriff's office,51177,0,0,0,23,222,3,245,-74.7025,41.6698,,Sullivan
City,36105,liberty village police department,4182,0,0,0,24,150,1,174,-74.74583,41.79917,,Sullivan
City,36105,monticello village police department,6338,0,0,0,23,83,0,106,-74.6819164,41.6542875,,Sullivan
City,36105,woodridge vlg police dept,771,0,0,0,3,11,0,14,-74.569612,41.708479,,Sullivan
City,36105,fallsburg town police department,12264,0,0,0,0,5,0,5,-74.62882,41.7074799,,Sullivan
County,36107,tioga county sheriff's office,39668,0,1,8,14,118,0,132,-76.2663066,42.1416852,,Tioga
